;Valores Reais;Valores Preditos;Residuo;Erro Quadratico
0;0.311828;0.115283;0.196545;0.03863
1;0.322581;0.364299;-0.041718;0.00174
2;0.107527;0.172349;-0.064822;0.004202
3;0.021505;0.19362;-0.172115;0.029624
4;0.591398;0.492012;0.099386;0.009878
5;0.193548;0.123725;0.069823;0.004875
6;0.215054;0.123736;0.091318;0.008339
7;0.053763;0.140423;-0.08666;0.00751
8;0.096774;0.096096;0.000678;0.0
9;0.11828;0.214935;-0.096655;0.009342
10;0.043011;0.135729;-0.092718;0.008597
11;0.053763;0.153879;-0.100116;0.010023
12;0.258065;0.408303;-0.150238;0.022571
13;0.096774;0.172538;-0.075764;0.00574
14;0.182796;0.141367;0.041429;0.001716
15;0.473118;0.366959;0.106159;0.01127
16;0.043011;0.129719;-0.086708;0.007518
17;0.075269;0.115821;-0.040552;0.001644
18;0.129032;0.137869;-0.008837;7.8e-05
19;0.612903;0.658731;-0.045828;0.0021
20;0.430108;0.532033;-0.101925;0.010389
21;0.182796;0.19375;-0.010954;0.00012
22;0.139785;0.040074;0.099711;0.009942
23;0.731183;0.382869;0.348314;0.121323
24;0.150538;0.194038;-0.0435;0.001892
25;0.096774;0.08683;0.009944;9.9e-05
26;0.096774;0.112959;-0.016185;0.000262
27;0.096774;0.072545;0.024229;0.000587
28;0.086022;0.132168;-0.046146;0.002129
29;0.182796;0.149581;0.033215;0.001103
30;0.44086;0.530235;-0.089375;0.007988
31;0.129032;0.228957;-0.099925;0.009985
32;0.182796;0.156084;0.026712;0.000714
33;0.16129;0.14052;0.02077;0.000431
34;0.075269;0.205906;-0.130637;0.017066
35;0.215054;0.477336;-0.262282;0.068792
36;0.483871;0.463091;0.02078;0.000432
37;0.354839;0.421783;-0.066944;0.004481
38;0.44086;0.596653;-0.155793;0.024272
39;0.784946;0.549147;0.235799;0.055601
40;0.021505;0.121669;-0.100164;0.010033
41;0.11828;0.070129;0.048151;0.002318
42;0.021505;0.049704;-0.028199;0.000795
43;0.580645;0.480157;0.100488;0.010098
44;0.258065;0.357515;-0.09945;0.00989
45;0.419355;0.298106;0.121249;0.014701
46;0.376344;0.36922;0.007124;5.1e-05
47;0.709677;0.713806;-0.004129;1.7e-05
48;0.784946;0.51739;0.267556;0.071586
49;0.11828;0.139679;-0.021399;0.000458
50;0.548387;0.448503;0.099884;0.009977
51;1.0;0.566578;0.433422;0.187854
52;0.032258;0.110035;-0.077777;0.006049
53;0.043011;0.205712;-0.162701;0.026472
54;0.139785;0.114534;0.025251;0.000638
55;0.064516;0.079815;-0.015299;0.000234
56;0.290323;0.444985;-0.154662;0.02392
57;0.516129;0.616553;-0.100424;0.010085
58;0.215054;0.080991;0.134063;0.017973
59;0.075269;0.283778;-0.208509;0.043476
60;0.043011;0.082189;-0.039178;0.001535
61;0.096774;0.068941;0.027833;0.000775
62;0.075269;0.280151;-0.204882;0.041977
63;0.806452;0.504239;0.302213;0.091333
64;0.258065;0.187207;0.070858;0.005021
65;0.591398;0.399426;0.191972;0.036853
66;0.107527;0.090893;0.016634;0.000277
67;0.11828;0.249925;-0.131645;0.01733
68;0.053763;0.118108;-0.064345;0.00414
69;0.236559;0.285762;-0.049203;0.002421
70;0.075269;0.13516;-0.059891;0.003587
71;0.172043;0.126687;0.045356;0.002057
72;0.053763;0.149141;-0.095378;0.009097
73;0.580645;0.702601;-0.121956;0.014873
74;0.021505;0.098677;-0.077172;0.005955
75;0.053763;0.085045;-0.031282;0.000979
76;0.150538;0.306393;-0.155855;0.024291
77;0.043011;0.092636;-0.049625;0.002463
78;0.107527;0.161112;-0.053585;0.002871
79;0.129032;0.085971;0.043061;0.001854
80;0.139785;0.048579;0.091206;0.008318
81;0.172043;0.139301;0.032742;0.001072
82;0.129032;0.129645;-0.000613;0.0
83;0.215054;0.149848;0.065206;0.004252
84;0.064516;0.110553;-0.046037;0.002119
85;0.182796;0.062397;0.120399;0.014496
86;0.612903;0.469778;0.143125;0.020485
87;0.11828;0.070313;0.047967;0.002301
88;0.623656;0.446568;0.177088;0.03136
89;0.096774;0.134594;-0.03782;0.00143
90;0.010753;0.078153;-0.0674;0.004543
91;0.129032;0.029052;0.09998;0.009996
92;0.107527;0.069467;0.03806;0.001449
93;0.182796;0.327482;-0.144686;0.020934
94;0.354839;0.368096;-0.013257;0.000176
95;0.924731;0.54302;0.381711;0.145703
96;0.139785;0.196195;-0.05641;0.003182
97;0.365591;0.465574;-0.099983;0.009997
98;0.16129;0.064481;0.096809;0.009372
99;0.107527;0.311052;-0.203525;0.041422
100;0.172043;0.263925;-0.091882;0.008442
101;0.322581;0.367516;-0.044935;0.002019
102;0.075269;0.009478;0.065791;0.004329
103;0.580645;0.499279;0.081366;0.00662
104;0.27957;0.384226;-0.104656;0.010953
105;0.096774;0.132491;-0.035717;0.001276
106;0.11828;0.238249;-0.119969;0.014392
107;0.311828;0.321493;-0.009665;9.3e-05
;;;;
;{'C': 10; 'epsilon': 0.01; 'gamma': 0.001; 'kernel': 'rbf'}
